p,e,n,poly,factorization
3319,2,6,x^12 + x^11 + 15,2^5 * 3^2 * 5 * 7 * 13 * 17 * 37^2 * 79 * 83 * 157 * 163 * 281 * 1153 * 2683 * 5197 * 17377 * 44478949
3319,2,7,x^14 + x^13 + 233,2^4 * 3 * 5 * 7^2 * 29 * 43 * 79 * 83 * 449 * 1295113 * 10828777 * 39287156231 * 827443915817
3319,2,8,x^16 + x^15 + 15,2^7 * 3 * 5 * 7 * 17 * 79 * 83 * 113 * 281 * 1153 * 2593 * 60673495204561 * 25127371653006057764369
3319,2,9,x^18 + x^17 + 51,2^4 * 3^3 * 5 * 7 * 13 * 19 * 37^2 * 79 * 83 * 163 * 2683 * 3583 * 5197 * 629326909 * 111792742813 * 124358493297304909
3319,2,10,x^20 + x^19 + 157,2^5 * 3 * 5^2 * 7 * 11 * 17 * 31 * 41 * 79 * 83 * 101 * 281 * 601 * 1153 * 40632121 * 64506331 * 2205644365651 * 8839030449502687361
3319,2,11,x^22 + x^21 + 6,2^4 * 3 * 5 * 7 * 23 * 79 * 83 * 43649 * 701981263105541 * 231141471872749469461 * 161524928815737926287986136693
3319,3,2,x^6 + x^5 + 66,2^4 * 3^2 * 5 * 7 * 13 * 37^2 * 79 * 83 * 163 * 2683 * 5197
3319,3,3,x^9 + x^8 + 5,2 * 3^3 * 7 * 37^2 * 79 * 2683 * 3583 * 124358493297304909
3319,3,4,x^12 + x^11 + 15,2^5 * 3^2 * 5 * 7 * 13 * 17 * 37^2 * 79 * 83 * 157 * 163 * 281 * 1153 * 2683 * 5197 * 17377 * 44478949
3319,3,5,x^15 + x^14 + 44,2 * 3^2 * 7 * 31 * 37^2 * 61 * 79 * 101 * 601 * 2683 * 64506331 * 157727366611 * 1529995879060951
3319,3,6,x^18 + x^17 + 51,2^4 * 3^3 * 5 * 7 * 13 * 19 * 37^2 * 79 * 83 * 163 * 2683 * 3583 * 5197 * 629326909 * 111792742813 * 124358493297304909
3319,3,7,x^21 + x^20 + 25,2 * 3^2 * 7^2 * 37^2 * 79 * 449 * 2683 * 10828777 * 39287156231 * 178161567533359159 * 10026333196782223542715159
3319,4,2,x^8 + x^7 + 113,2^6 * 3 * 5 * 7 * 17 * 79 * 83 * 281 * 1153 * 60673495204561
3319,4,3,x^12 + x^11 + 15,2^5 * 3^2 * 5 * 7 * 13 * 17 * 37^2 * 79 * 83 * 157 * 163 * 281 * 1153 * 2683 * 5197 * 17377 * 44478949
3319,4,4,x^16 + x^15 + 15,2^7 * 3 * 5 * 7 * 17 * 79 * 83 * 113 * 281 * 1153 * 2593 * 60673495204561 * 25127371653006057764369
3319,4,5,x^20 + x^19 + 157,2^5 * 3 * 5^2 * 7 * 11 * 17 * 31 * 41 * 79 * 83 * 101 * 281 * 601 * 1153 * 40632121 * 64506331 * 2205644365651 * 8839030449502687361
3319,5,2,x^10 + x^9 + 15,2^4 * 3 * 5^2 * 7 * 11 * 31 * 79 * 83 * 101 * 601 * 64506331 * 2205644365651
3319,5,3,x^15 + x^14 + 44,2 * 3^2 * 7 * 31 * 37^2 * 61 * 79 * 101 * 601 * 2683 * 64506331 * 157727366611 * 1529995879060951
3319,5,4,x^20 + x^19 + 157,2^5 * 3 * 5^2 * 7 * 11 * 17 * 31 * 41 * 79 * 83 * 101 * 281 * 601 * 1153 * 40632121 * 64506331 * 2205644365651 * 8839030449502687361
3319,6,2,x^12 + x^11 + 15,2^5 * 3^2 * 5 * 7 * 13 * 17 * 37^2 * 79 * 83 * 157 * 163 * 281 * 1153 * 2683 * 5197 * 17377 * 44478949
3319,6,3,x^18 + x^17 + 51,2^4 * 3^3 * 5 * 7 * 13 * 19 * 37^2 * 79 * 83 * 163 * 2683 * 3583 * 5197 * 629326909 * 111792742813 * 124358493297304909
3319,7,2,x^14 + x^13 + 233,2^4 * 3 * 5 * 7^2 * 29 * 43 * 79 * 83 * 449 * 1295113 * 10828777 * 39287156231 * 827443915817
3319,7,3,x^21 + x^20 + 25,2 * 3^2 * 7^2 * 37^2 * 79 * 449 * 2683 * 10828777 * 39287156231 * 178161567533359159 * 10026333196782223542715159
3319,8,2,x^16 + x^15 + 15,2^7 * 3 * 5 * 7 * 17 * 79 * 83 * 113 * 281 * 1153 * 2593 * 60673495204561 * 25127371653006057764369
3319,9,2,x^18 + x^17 + 51,2^4 * 3^3 * 5 * 7 * 13 * 19 * 37^2 * 79 * 83 * 163 * 2683 * 3583 * 5197 * 629326909 * 111792742813 * 124358493297304909
3319,10,2,x^20 + x^19 + 157,2^5 * 3 * 5^2 * 7 * 11 * 17 * 31 * 41 * 79 * 83 * 101 * 281 * 601 * 1153 * 40632121 * 64506331 * 2205644365651 * 8839030449502687361
3319,11,2,x^22 + x^21 + 6,2^4 * 3 * 5 * 7 * 23 * 79 * 83 * 43649 * 701981263105541 * 231141471872749469461 * 161524928815737926287986136693
