p,r,n,poly,factorization
919,1,26,x^26 + x^25 + 77,2^4 * 3^3 * 5 * 17 * 23 * 2393 * 66067 * 1342824135953 * 1707526281112471 * 190300027411719551 * 1909062364439618831
919,2,2,x^4 + x^3 + 15,2^5 * 3^3 * 5 * 17 * 23 * 37 * 101 * 113
919,2,3,x^6 + x^5 + 15,2^4 * 3^4 * 5 * 7 * 13 * 17 * 19 * 23 * 163 * 843643
919,2,4,x^8 + x^7 + 38,2^6 * 3^3 * 5 * 17 * 23 * 37 * 101 * 113 * 356641641361
919,2,5,x^10 + x^9 + 15,2^4 * 3^3 * 5^2 * 11 * 17 * 23 * 12954690451 * 714060279761
919,2,6,x^12 + x^11 + 19,2^5 * 3^4 * 5 * 7 * 13 * 17 * 19 * 23 * 37 * 101 * 113 * 163 * 373 * 1789 * 843643 * 1068913
919,2,7,x^14 + x^13 + 147,2^4 * 3^3 * 5 * 17 * 23 * 29 * 43 * 3851 * 21407 * 5866379 * 601756447709284687
919,2,8,x^16 + x^15 + 69,2^7 * 3^3 * 5 * 17 * 23 * 37 * 101 * 113 * 2142577 * 356641641361 * 118729231530359473
919,2,9,x^18 + x^17 + 328,2^4 * 3^5 * 5 * 7 * 13 * 17 * 19 * 23 * 163 * 271 * 241903 * 266401 * 843643 * 9347941 * 740973239008957
919,2,10,x^20 + x^19 + 171,2^5 * 3^3 * 5^2 * 11 * 17 * 23 * 37 * 101 * 113 * 661 * 12954690451 * 714060279761 * 769701118001084359261
919,2,11,x^22 + x^21 + 7,2^4 * 3^3 * 5 * 17 * 23 * 331 * 353 * 2333 * 3673500461479133214769577 * 184379742982404514013792797
919,2,12,x^24 + x^23 + 73,2^6 * 3^4 * 5 * 7 * 13 * 17 * 19 * 23 * 37 * 73 * 101 * 113 * 163 * 373 * 1789 * 2521 * 843643 * 1068913 * 356641641361 * 2764575056693814337
919,2,13,x^26 + x^25 + 77,2^4 * 3^3 * 5 * 17 * 23 * 2393 * 66067 * 1342824135953 * 1707526281112471 * 190300027411719551 * 1909062364439618831
919,3,2,x^6 + x^5 + 15,2^4 * 3^4 * 5 * 7 * 13 * 17 * 19 * 23 * 163 * 843643
919,3,3,x^9 + x^8 + 40,2 * 3^5 * 7 * 13 * 17 * 19 * 163 * 271 * 740973239008957
919,3,4,x^12 + x^11 + 19,2^5 * 3^4 * 5 * 7 * 13 * 17 * 19 * 23 * 37 * 101 * 113 * 163 * 373 * 1789 * 843643 * 1068913
919,3,5,x^15 + x^14 + 372,2 * 3^4 * 7 * 13 * 17 * 19 * 31 * 163 * 691 * 751 * 1051 * 714060279761 * 30058608171601
919,3,6,x^18 + x^17 + 328,2^4 * 3^5 * 5 * 7 * 13 * 17 * 19 * 23 * 163 * 271 * 241903 * 266401 * 843643 * 9347941 * 740973239008957
919,3,7,x^21 + x^20 + 90,2 * 3^4 * 7^2 * 13 * 17 * 19 * 29 * 43 * 163 * 3851 * 21407 * 5866379 * 23241480529 * 2228186183638339259155927
919,3,8,x^24 + x^23 + 73,2^6 * 3^4 * 5 * 7 * 13 * 17 * 19 * 23 * 37 * 73 * 101 * 113 * 163 * 373 * 1789 * 2521 * 843643 * 1068913 * 356641641361 * 2764575056693814337
919,4,2,x^8 + x^7 + 38,2^6 * 3^3 * 5 * 17 * 23 * 37 * 101 * 113 * 356641641361
919,4,3,x^12 + x^11 + 19,2^5 * 3^4 * 5 * 7 * 13 * 17 * 19 * 23 * 37 * 101 * 113 * 163 * 373 * 1789 * 843643 * 1068913
919,4,4,x^16 + x^15 + 69,2^7 * 3^3 * 5 * 17 * 23 * 37 * 101 * 113 * 2142577 * 356641641361 * 118729231530359473
919,4,5,x^20 + x^19 + 171,2^5 * 3^3 * 5^2 * 11 * 17 * 23 * 37 * 101 * 113 * 661 * 12954690451 * 714060279761 * 769701118001084359261
919,4,6,x^24 + x^23 + 73,2^6 * 3^4 * 5 * 7 * 13 * 17 * 19 * 23 * 37 * 73 * 101 * 113 * 163 * 373 * 1789 * 2521 * 843643 * 1068913 * 356641641361 * 2764575056693814337
919,5,2,x^10 + x^9 + 15,2^4 * 3^3 * 5^2 * 11 * 17 * 23 * 12954690451 * 714060279761
919,5,3,x^15 + x^14 + 372,2 * 3^4 * 7 * 13 * 17 * 19 * 31 * 163 * 691 * 751 * 1051 * 714060279761 * 30058608171601
919,5,4,x^20 + x^19 + 171,2^5 * 3^3 * 5^2 * 11 * 17 * 23 * 37 * 101 * 113 * 661 * 12954690451 * 714060279761 * 769701118001084359261
919,5,5,x^25 + x^24 + 61,2 * 3^3 * 17 * 55901 * 4945001 * 714060279761 * 159008399541216031201 * 4200531063217791124009116701
919,6,2,x^12 + x^11 + 19,2^5 * 3^4 * 5 * 7 * 13 * 17 * 19 * 23 * 37 * 101 * 113 * 163 * 373 * 1789 * 843643 * 1068913
919,6,3,x^18 + x^17 + 328,2^4 * 3^5 * 5 * 7 * 13 * 17 * 19 * 23 * 163 * 271 * 241903 * 266401 * 843643 * 9347941 * 740973239008957
919,6,4,x^24 + x^23 + 73,2^6 * 3^4 * 5 * 7 * 13 * 17 * 19 * 23 * 37 * 73 * 101 * 113 * 163 * 373 * 1789 * 2521 * 843643 * 1068913 * 356641641361 * 2764575056693814337
919,7,2,x^14 + x^13 + 147,2^4 * 3^3 * 5 * 17 * 23 * 29 * 43 * 3851 * 21407 * 5866379 * 601756447709284687
919,7,3,x^21 + x^20 + 90,2 * 3^4 * 7^2 * 13 * 17 * 19 * 29 * 43 * 163 * 3851 * 21407 * 5866379 * 23241480529 * 2228186183638339259155927
919,8,2,x^16 + x^15 + 69,2^7 * 3^3 * 5 * 17 * 23 * 37 * 101 * 113 * 2142577 * 356641641361 * 118729231530359473
919,8,3,x^24 + x^23 + 73,2^6 * 3^4 * 5 * 7 * 13 * 17 * 19 * 23 * 37 * 73 * 101 * 113 * 163 * 373 * 1789 * 2521 * 843643 * 1068913 * 356641641361 * 2764575056693814337
919,9,2,x^18 + x^17 + 328,2^4 * 3^5 * 5 * 7 * 13 * 17 * 19 * 23 * 163 * 271 * 241903 * 266401 * 843643 * 9347941 * 740973239008957
919,10,2,x^20 + x^19 + 171,2^5 * 3^3 * 5^2 * 11 * 17 * 23 * 37 * 101 * 113 * 661 * 12954690451 * 714060279761 * 769701118001084359261
919,11,2,x^22 + x^21 + 7,2^4 * 3^3 * 5 * 17 * 23 * 331 * 353 * 2333 * 3673500461479133214769577 * 184379742982404514013792797
919,12,2,x^24 + x^23 + 73,2^6 * 3^4 * 5 * 7 * 13 * 17 * 19 * 23 * 37 * 73 * 101 * 113 * 163 * 373 * 1789 * 2521 * 843643 * 1068913 * 356641641361 * 2764575056693814337
919,13,2,x^26 + x^25 + 77,2^4 * 3^3 * 5 * 17 * 23 * 2393 * 66067 * 1342824135953 * 1707526281112471 * 190300027411719551 * 1909062364439618831
